,contrast,estimate,SE,df,t.ratio,p.value,Target
1,Engineer TimePhase1 - ProductDesigner TimePhase1,-0.160921407,0.087189898,28,-1.845642795,0.653454556,1
2,Engineer TimePhase1 - ServiceDesigner TimePhase1,0.08909477,0.085454515,28,1.042598749,0.97776397,1
3,Engineer TimePhase1 - Engineer TimePhase2,0.150713848,0.083302566,28,1.809234159,0.676070603,1
4,Engineer TimePhase1 - ProductDesigner TimePhase2,-0.010207559,0.117640524,28,-0.086769071,1,0
5,Engineer TimePhase1 - ServiceDesigner TimePhase2,0.239808618,0.116438167,28,2.05953619,0.518233384,0
6,Engineer TimePhase1 - Engineer TimePhase3,-0.166931381,0.085454515,28,-1.953453038,0.585326668,1
7,Engineer TimePhase1 - ProductDesigner TimePhase3,-0.327852788,0.121985007,28,-2.68764823,0.197508869,0
8,Engineer TimePhase1 - ServiceDesigner TimePhase3,-0.077836611,0.117884659,28,-0.660277699,0.998937455,0
9,ProductDesigner TimePhase1 - ServiceDesigner TimePhase1,0.250016177,0.083302566,28,3.001302233,0.107302952,1
10,ProductDesigner TimePhase1 - Engineer TimePhase2,0.311635255,0.123464564,28,2.524086626,0.263316311,1
11,ProductDesigner TimePhase1 - ProductDesigner TimePhase2,0.150713848,0.083302566,28,1.809234159,0.676070603,1
12,ProductDesigner TimePhase1 - ServiceDesigner TimePhase2,0.400730025,0.117884659,28,3.399339902,0.045218711,0
13,ProductDesigner TimePhase1 - Engineer TimePhase3,-0.006009975,0.122183316,28,-0.049188177,1,1
14,ProductDesigner TimePhase1 - ProductDesigner TimePhase3,-0.166931381,0.085454515,28,-1.953453038,0.585326668,1
15,ProductDesigner TimePhase1 - ServiceDesigner TimePhase3,0.083084796,0.116438167,28,0.713552936,0.99816004,0
16,ServiceDesigner TimePhase1 - Engineer TimePhase2,0.061619078,0.122170932,28,0.504367748,0.999852381,0
17,ServiceDesigner TimePhase1 - ProductDesigner TimePhase2,-0.099302329,0.117730528,28,-0.843471368,0.994225457,0
18,ServiceDesigner TimePhase1 - ServiceDesigner TimePhase2,0.150713848,0.083302566,28,1.809234159,0.676070603,0
19,ServiceDesigner TimePhase1 - Engineer TimePhase3,-0.256026152,0.123746125,28,-2.068962973,0.51233438,1
20,ServiceDesigner TimePhase1 - ProductDesigner TimePhase3,-0.416947558,0.122170932,28,-3.412821308,0.04385084,0
21,ServiceDesigner TimePhase1 - ServiceDesigner TimePhase3,-0.166931381,0.085454515,28,-1.953453038,0.585326668,0
22,Engineer TimePhase2 - ProductDesigner TimePhase2,-0.160921407,0.087189898,28,-1.845642795,0.653454556,1
23,Engineer TimePhase2 - ServiceDesigner TimePhase2,0.08909477,0.085454515,28,1.042598749,0.97776397,1
24,Engineer TimePhase2 - Engineer TimePhase3,-0.317645229,0.087189898,28,-3.643142577,0.025631149,1
25,Engineer TimePhase2 - ProductDesigner TimePhase3,-0.478566636,0.126024001,28,-3.797424546,0.017683784,0
26,Engineer TimePhase2 - ServiceDesigner TimePhase3,-0.228550459,0.121985007,28,-1.87359467,0.635914885,0
27,ProductDesigner TimePhase2 - ServiceDesigner TimePhase2,0.250016177,0.083302566,28,3.001302233,0.107302952,1
28,ProductDesigner TimePhase2 - Engineer TimePhase3,-0.156723822,0.120524953,28,-1.300343362,0.922933342,0
29,ProductDesigner TimePhase2 - ProductDesigner TimePhase3,-0.317645229,0.087189898,28,-3.643142577,0.025631149,1
30,ProductDesigner TimePhase2 - ServiceDesigner TimePhase3,-0.067629052,0.117640524,28,-0.574878874,0.999610437,0
31,ServiceDesigner TimePhase2 - Engineer TimePhase3,-0.406739999,0.122183316,28,-3.328932387,0.053012536,0
32,ServiceDesigner TimePhase2 - ProductDesigner TimePhase3,-0.567661406,0.123464564,28,-4.597767879,0.002330187,0
33,ServiceDesigner TimePhase2 - ServiceDesigner TimePhase3,-0.317645229,0.087189898,28,-3.643142577,0.025631149,1
34,Engineer TimePhase3 - ProductDesigner TimePhase3,-0.160921407,0.087189898,28,-1.845642795,0.653454556,1
35,Engineer TimePhase3 - ServiceDesigner TimePhase3,0.08909477,0.085454515,28,1.042598749,0.97776397,1
36,ProductDesigner TimePhase3 - ServiceDesigner TimePhase3,0.250016177,0.083302566,28,3.001302233,0.107302952,1